 itr,            f,   df_abs[%],   df_rel[%],        c1: =,       c1_ref,      len_C1,  adj_len_C1,        c2: =,       c2_ref,      len_C2,  adj_len_C2,        c3: =,       c3_ref,      len_C3,  adj_len_C3,     bi_itrs,      bi_err, test_norm_dX_bar,     norm_dX, step_length,               time_stamp
  39,  8.14325E-01,  3.42319E+01, -1.44015E-01,  8.82657E-02,  8.82659E-02,   -0.000514,   -0.000514,  9.99986E-01,  9.99971E-01,    0.051941,    0.051941,  2.03981E+00,  2.03955E+00,    0.461840,    0.421484,           7,    0.002204,         1.110741,    0.000141, 1.40737E-04, Mon Jul  1 13:51:08 2024
  40,  8.13452E-01,  3.40879E+01, -1.43939E-01,  8.82657E-02,  8.82659E-02,   -0.000533,   -0.000533,  9.99986E-01,  9.99971E-01,    0.052149,    0.052149,  2.03978E+00,  2.03955E+00,    0.409443,    0.409443,           0,   -0.031172,         0.968828,    0.000130, 1.40737E-04, Mon Jul  1 13:51:13 2024
  41,  8.13724E-01,  3.41327E+01,  4.48001E-02,  8.82658E-02,  8.82659E-02,   -0.000141,   -0.000141,  9.99982E-01,  9.99971E-01,    0.038059,    0.038059,  2.03976E+00,  2.03955E+00,    0.389429,    0.389429,           0,   -0.049145,         0.950855,    0.000132, 1.40737E-04, Mon Jul  1 13:51:18 2024
  42,  8.14063E-01,  3.41887E+01,  5.60136E-02,  8.82658E-02,  8.82659E-02,   -0.000149,   -0.000149,  9.99981E-01,  9.99971E-01,    0.045677,    0.045677,  2.03976E+00,  2.03955E+00,    0.480866,    0.416406,           6,    0.004347,         1.177698,    0.000113, 1.12590E-04, Mon Jul  1 13:51:23 2024
  43,  8.13364E-01,  3.40734E+01, -1.15327E-01,  8.82658E-02,  8.82659E-02,   -0.000673,   -0.000673,  9.99983E-01,  9.99971E-01,    0.065291,    0.065291,  2.03974E+00,  2.03955E+00,    0.543273,    0.436719,           6,    0.008970,         1.295425,    0.000091, 9.00720E-05, Mon Jul  1 13:51:29 2024
  44,  8.12802E-01,  3.39808E+01, -9.26202E-02,  8.82658E-02,  8.82659E-02,   -0.000554,   -0.000554,  9.99981E-01,  9.99971E-01,    0.052472,    0.052472,  2.03972E+00,  2.03955E+00,    0.478077,    0.421484,           7,    0.000134,         1.152230,    0.000090, 9.00720E-05, Mon Jul  1 13:51:34 2024
  45,  8.12247E-01,  3.38893E+01, -9.15055E-02,  8.82658E-02,  8.82659E-02,   -0.000560,   -0.000560,  9.99981E-01,  9.99971E-01,    0.052016,    0.052016,  2.03970E+00,  2.03955E+00,    0.425510,    0.425510,           0,   -0.011074,         1.011785,    0.000089, 9.00720E-05, Mon Jul  1 13:51:38 2024
  46,  8.11766E-01,  3.38101E+01, -7.92349E-02,  8.82658E-02,  8.82659E-02,   -0.000539,   -0.000539,  9.99980E-01,  9.99971E-01,    0.051241,    0.051241,  2.03968E+00,  2.03955E+00,    0.377098,    0.377098,           0,   -0.019082,         0.883452,    0.000088, 9.00720E-05, Mon Jul  1 13:51:43 2024
  47,  8.12135E-01,  3.38709E+01,  6.08300E-02,  8.82659E-02,  8.82659E-02,   -0.000102,   -0.000102,  9.99977E-01,  9.99971E-01,    0.031061,    0.031061,  2.03968E+00,  2.03955E+00,    0.364752,    0.364752,           0,   -0.028821,         0.901512,    0.000087, 9.00720E-05, Mon Jul  1 13:51:48 2024
  48,  8.12466E-01,  3.39254E+01,  5.44888E-02,  8.82659E-02,  8.82659E-02,   -0.000159,   -0.000159,  9.99977E-01,  9.99971E-01,    0.040637,    0.040637,  2.03968E+00,  2.03955E+00,    0.463419,    0.411328,           7,    0.002654,         1.142636,    0.000072, 7.20576E-05, Mon Jul  1 13:51:54 2024
  49,  8.12021E-01,  3.38521E+01, -7.32660E-02,  8.82658E-02,  8.82659E-02,   -0.000708,   -0.000708,  9.99979E-01,  9.99971E-01,    0.065163,    0.065163,  2.03967E+00,  2.03955E+00,    0.528063,    0.436719,           6,    0.008638,         1.254044,    0.000058, 5.76461E-05, Mon Jul  1 13:51:59 2024
  50,  8.11663E-01,  3.37931E+01, -5.90070E-02,  8.82658E-02,  8.82659E-02,   -0.000579,   -0.000579,  9.99977E-01,  9.99971E-01,    0.052437,    0.052437,  2.03965E+00,  2.03955E+00,    0.463302,    0.421484,           7,    0.000323,         1.112005,    0.000058, 5.76461E-05, Mon Jul  1 13:52:04 2024
  51,  8.11309E-01,  3.37348E+01, -5.83283E-02,  8.82658E-02,  8.82659E-02,   -0.000581,   -0.000581,  9.99977E-01,  9.99971E-01,    0.051975,    0.051975,  2.03964E+00,  2.03955E+00,    0.411030,    0.411030,           0,   -0.027420,         0.972580,    0.000053, 5.76461E-05, Mon Jul  1 13:52:09 2024
  52,  8.11414E-01,  3.37521E+01,  1.72833E-02,  8.82658E-02,  8.82659E-02,   -0.000263,   -0.000263,  9.99976E-01,  9.99971E-01,    0.038403,    0.038403,  2.03964E+00,  2.03955E+00,    0.390821,    0.390821,           0,   -0.047330,         0.952670,    0.000054, 5.76461E-05, Mon Jul  1 13:52:14 2024
  53,  8.11550E-01,  3.37744E+01,  2.23183E-02,  8.82658E-02,  8.82659E-02,   -0.000298,   -0.000298,  9.99975E-01,  9.99971E-01,    0.045922,    0.045922,  2.03963E+00,  2.03955E+00,    0.481858,    0.416406,           6,    0.002481,         1.178286,    0.000046, 4.61169E-05, Mon Jul  1 13:52:19 2024
  54,  8.11266E-01,  3.37276E+01, -4.67677E-02,  8.82658E-02,  8.82659E-02,   -0.000734,   -0.000734,  9.99976E-01,  9.99971E-01,    0.065174,    0.065174,  2.03963E+00,  2.03955E+00,    0.544966,    0.436719,           6,    0.008234,         1.298946,    0.000037, 3.68935E-05, Mon Jul  1 13:52:24 2024
  55,  8.11037E-01,  3.36899E+01, -3.76587E-02,  8.82658E-02,  8.82659E-02,   -0.000596,   -0.000596,  9.99975E-01,  9.99971E-01,    0.052435,    0.052435,  2.03962E+00,  2.03955E+00,    0.480389,    0.421484,           7,    0.000621,         1.157558,    0.000037, 3.68935E-05, Mon Jul  1 13:52:29 2024
  56,  8.10812E-01,  3.36527E+01, -3.72455E-02,  8.82658E-02,  8.82659E-02,   -0.000595,   -0.000595,  9.99975E-01,  9.99971E-01,    0.051978,    0.051978,  2.03961E+00,  2.03955E+00,    0.428282,    0.428282,           0,    0.000283,         1.018665,    0.000037, 3.68935E-05, Mon Jul  1 13:52:34 2024
  57,  8.10608E-01,  3.36191E+01, -3.36218E-02,  8.82658E-02,  8.82659E-02,   -0.000585,   -0.000585,  9.99975E-01,  9.99971E-01,    0.051875,    0.051875,  2.03960E+00,  2.03955E+00,    0.379511,    0.379511,           0,   -0.022232,         0.887882,    0.000036, 3.68935E-05, Mon Jul  1 13:52:40 2024
  58,  8.10754E-01,  3.36433E+01,  2.41812E-02,  8.82659E-02,  8.82659E-02,   -0.000193,   -0.000193,  9.99974E-01,  9.99971E-01,    0.031456,    0.031456,  2.03960E+00,  2.03955E+00,    0.366125,    0.366125,           0,   -0.030539,         0.903598,    0.000036, 3.68935E-05, Mon Jul  1 13:52:45 2024
  59,  8.10887E-01,  3.36652E+01,  2.19306E-02,  8.82659E-02,  8.82659E-02,   -0.000267,   -0.000267,  9.99974E-01,  9.99971E-01,    0.040905,    0.040905,  2.03960E+00,  2.03955E+00,    0.464330,    0.411328,           7,    0.001186,         1.143505,    0.000030, 2.95148E-05, Mon Jul  1 13:52:50 2024
